"07938: Personer med helse- og sosialfaglig utdanning. 4. kvartal, etter statistikkvariabel, fagutdanning, alder, kjønn og år"

"statistikkvariabel";"fagutdanning";"alder";"kjønn";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Avtalte årsverk";"Aktivitør";"40-54 år";"Menn";27.2;31.0;26.9;26.1;22.0;26.1;31.9;27.5;29.4;29.0;27.5;23.2;21.6;20.2;19.4;20.4
"Avtalte årsverk";"Aktivitør";"55-66 år";"Kvinner";646.0;741.6;823.4;891.0;943.8;1008.4;1068.9;1097.7;1085.2;1088.4;1053.8;997.3;932.1;887.3;824.2;770.0
"Avtalte årsverk";"Aktivitør";"55-66 år";"Menn";9.2;11.6;12.4;14.5;15.4;15.2;15.3;14.1;12.4;11.4;15.8;18.8;18.3;19.2;21.1;16.6
"Avtalte årsverk";"Annen videregående helseutdanning";"Alle aldre";"Kvinner";2498.6;2734.6;3189.9;3665.4;4274.5;4516.6;4749.3;6073.1;5978.0;7071.0;7910.6;8548.6;9165.4;9816.7;10427.5;11253.6
"Avtalte årsverk";"Annen videregående helseutdanning";"Alle aldre";"Menn";2856.6;3024.0;3214.0;3312.5;3490.6;3552.5;3636.0;4185.5;4256.6;4390.1;4545.0;4806.1;5045.9;5249.1;5134.1;5154.6
"Avtalte årsverk";"Annen videregående helseutdanning";"15-39 år";"Kvinner";903.9;1721.4;2069.1;2420.4;2893.9;3063.3;3282.8;3600.3;3464.6;3882.4;4329.3;4683.3;4938.2;5346.9;5662.2;6169.3
"Avtalte årsverk";"Annen videregående helseutdanning";"15-39 år";"Menn";1150.9;1212.1;1281.2;1257.2;1278.8;1270.4;1280.3;1535.2;1543.1;1544.0;1585.4;1710.0;1849.6;1950.5;1864.2;1844.5
"Avtalte årsverk";"Annen videregående helseutdanning";"15-66 år";"Kvinner";2479.7;2726.7;3177.5;3650.0;4259.7;4494.6;4725.8;6021.5;5932.9;7018.8;7857.5;8488.7;9103.9;9744.3;10348.9;11170.1
"Avtalte årsverk";"Annen videregående helseutdanning";"15-66 år";"Menn";2832.8;2997.5;3185.9;3283.2;3439.0;3496.4;3570.1;4120.2;4183.0;4300.6;4447.6;4698.9;4943.1;5143.1;5013.2;5027.9
"Avtalte årsverk";"Annen videregående helseutdanning";"15-74 år";"Kvinner";2498.6;2734.6;3189.9;3665.2;4274.2;4516.3;4748.8;6072.0;5977.0;7069.1;7905.7;8542.7;9159.8;9812.5;10414.2;11240.7
"Avtalte årsverk";"Annen videregående helseutdanning";"15-74 år";"Menn";2855.9;3023.5;3213.5;3311.9;3490.3;3551.7;3632.9;4182.5;4255.0;4388.1;4538.7;4800.7;5040.8;5243.7;5117.3;5142.4
"Avtalte årsverk";"Annen videregående helseutdanning";"40-54 år";"Kvinner";955.8;691.5;784.9;883.8;979.9;1043.1;1029.9;1579.7;1613.3;2268.6;2569.7;2777.1;3061.9;3247.3;3451.4;3670.8
"Avtalte årsverk";"Annen videregående helseutdanning";"40-54 år";"Menn";1284.4;1364.9;1442.5;1555.4;1620.5;1648.8;1682.2;1890.3;1933.0;2010.2;2040.2;2098.0;2112.0;2124.6;2075.5;2030.6
"Avtalte årsverk";"Annen videregående helseutdanning";"55-66 år";"Kvinner";620.0;313.8;323.5;345.7;385.9;388.3;413.1;841.5;855.0;867.9;958.5;1028.3;1103.7;1150.1;1235.2;1330.0
"Avtalte årsverk";"Annen videregående helseutdanning";"55-66 år";"Menn";397.5;420.5;462.2;470.5;539.7;577.2;607.6;694.7;706.8;746.4;821.9;890.9;981.5;1068.0;1073.4;1152.8
"Avtalte årsverk";"Ergoterapeut";"Alle aldre";"Kvinner";2865.2;2933.1;3027.6;3182.0;3270.5;3387.2;3492.7;3682.2;3803.3;3925.3;4061.4;4205.5;4308.9;4447.9;4582.1;4717.3
"Avtalte årsverk";"Ergoterapeut";"Alle aldre";"Menn";338.0;365.6;393.4;439.5;459.8;480.7;500.0;538.3;557.8;600.9;644.4;684.5;714.7;760.1;810.4;860.0
"Avtalte årsverk";"Ergoterapeut";"15-39 år";"Kvinner";1526.0;1552.9;1589.1;1682.8;1717.7;1749.0;1784.2;1882.1;1934.4;2000.2;2059.2;2094.3;2128.4;2178.5;2218.4;2281.1
"Avtalte årsverk";"Ergoterapeut";"15-39 år";"Menn";226.8;247.3;263.1;287.2;286.0;287.1;293.8;310.5;326.7;341.0;378.8;403.9;425.8;446.1;473.6;501.8
"Avtalte årsverk";"Ergoterapeut";"15-66 år";"Kvinner";2855.0;2921.6;3008.7;3166.8;3251.4;3364.3;3467.4;3659.0;3777.0;3902.6;4036.2;4176.6;4280.3;4412.8;4539.1;4664.5
"Avtalte årsverk";"Ergoterapeut";"15-66 år";"Menn";336.2;364.1;393.4;439.5;459.8;480.7;498.8;536.8;556.3;599.4;643.4;683.0;714.0;760.1;809.3;857.4
"Avtalte årsverk";"Ergoterapeut";"15-74 år";"Kvinner";2865.2;2933.0;3027.5;3182.0;3270.5;3387.2;3490.8;3680.6;3802.9;3924.5;4059.5;4204.8;4307.9;4445.1;4576.4;4709.6
"Avtalte årsverk";"Ergoterapeut";"15-74 år";"Menn";338.0;364.5;393.4;439.5;459.8;480.7;500.0;538.3;557.8;600.9;644.4;684.5;714.7;760.1;810.3;859.7
"Avtalte årsverk";"Ergoterapeut";"40-54 år";"Kvinner";933.1;947.0;973.8;1001.0;1018.1;1080.6;1110.1;1163.5;1191.5;1243.8;1292.0;1387.2;1466.2;1554.5;1649.5;1711.7
"Avtalte årsverk";"Ergoterapeut";"40-54 år";"Menn";101.7;107.1;114.1;131.6;148.0;164.0;167.6;182.8;182.0;207.3;214.5;224.9;234.5;259.1;275.6;292.0
"Avtalte årsverk";"Ergoterapeut";"55-66 år";"Kvinner";395.9;421.7;445.8;482.9;515.6;534.7;573.0;613.5;651.0;658.6;685.0;695.1;685.7;679.8;671.2;671.7
"Avtalte årsverk";"Ergoterapeut";"55-66 år";"Menn";7.6;9.7;16.2;20.7;25.9;29.6;37.4;43.5;47.6;51.2;50.0;54.2;53.7;54.9;60.2;63.6
"Avtalte årsverk";"Fysioterapeut";"Alle aldre";"Kvinner";6559.9;6648.3;6820.0;7429.4;7472.1;7522.5;7722.8;8045.9;8216.8;8378.0;8430.9;8507.9;8577.5;8707.4;8794.6;8602.6
"Avtalte årsverk";"Fysioterapeut";"Alle aldre";"Menn";3154.3;3219.6;3321.1;3647.1;3576.7;3624.4;3797.9;3734.0;3888.7;3965.3;4051.3;4100.1;4196.3;4256.3;4338.0;3909.2
"Avtalte årsverk";"Fysioterapeut";"15-39 år";"Kvinner";3005.7;3075.7;3206.8;3389.4;3409.3;3463.7;3518.0;3568.6;3629.2;3689.5;3645.4;3574.4;3554.3;3617.9;3614.5;3533.8
"Avtalte årsverk";"Fysioterapeut";"15-39 år";"Menn";1456.7;1459.0;1458.5;1541.4;1499.3;1473.7;1528.3;1450.1;1530.1;1532.8;1557.8;1578.5;1619.4;1640.3;1712.4;1605.0
"Avtalte årsverk";"Fysioterapeut";"15-66 år";"Kvinner";6432.7;6507.5;6669.9;7258.9;7275.2;7318.3;7486.5;7800.1;7946.6;8100.0;8170.5;8237.7;8323.5;8469.0;8526.0;8330.1
"Avtalte årsverk";"Fysioterapeut";"15-66 år";"Menn";3122.6;3179.0;3273.1;3581.9;3503.1;3526.6;3672.8;3594.6;3726.2;3778.0;3834.8;3863.6;3945.0;3986.6;4055.0;3642.4
"Avtalte årsverk";"Fysioterapeut";"15-74 år";"Kvinner";6556.0;6646.8;6813.8;7427.0;7467.3;7519.6;7719.3;8039.7;8209.6;8369.1;8425.3;8498.2;8568.5;8699.0;8766.5;8574.8
"Avtalte årsverk";"Fysioterapeut";"15-74 år";"Menn";3153.1;3218.4;3321.1;3646.5;3573.5;3624.1;3796.4;3731.6;3887.2;3964.7;4048.8;4094.8;4191.0;4250.2;4323.4;3887.9
"Avtalte årsverk";"Fysioterapeut";"40-54 år";"Kvinner";2050.5;2026.6;1998.6;2182.1;2169.2;2178.7;2272.6;2487.0;2580.2;2716.4;2874.0;3072.5;3210.5;3318.0;3431.6;3364.7
"Avtalte årsverk";"Fysioterapeut";"40-54 år";"Menn";1043.1;1044.6;1088.6;1202.1;1150.4;1167.2;1236.9;1231.3;1287.8;1364.2;1431.1;1463.0;1537.7;1581.4;1590.2;1405.2
"Avtalte årsverk";"Fysioterapeut";"55-66 år";"Kvinner";1376.5;1405.2;1464.4;1687.4;1696.6;1675.8;1696.0;1744.5;1737.3;1694.1;1651.2;1590.8;1558.7;1533.1;1479.8;1431.6
"Avtalte årsverk";"Fysioterapeut";"55-66 år";"Menn";622.8;675.4;726.1;838.4;853.4;885.7;907.5;913.2;908.3;881.0;845.8;822.1;787.9;764.9;752.4;632.1
"Avtalte årsverk";"Helsesykepleier og jordmor";"Alle aldre";"Kvinner";5414.7;5637.2;5637.3;5916.7;5998.4;6123.8;6281.0;6658.1;6810.7;6957.5;7037.5;7168.2;7283.0;7394.7;7569.3;7618.7
"Avtalte årsverk";"Helsesykepleier og jordmor";"Alle aldre";"Menn";23.5;25.0;26.4;28.9;28.6;30.8;31.4;29.6;30.3;30.9;33.2;31.3;33.1;33.7;44.4;46.6
"Avtalte årsverk";"Helsesykepleier og jordmor";"15-39 år";"Kvinner";967.2;1048.8;1044.4;1169.7;1208.5;1258.8;1234.9;1341.0;1344.8;1369.8;1374.8;1422.5;1550.7;1576.2;1704.0;1763.7
"Avtalte årsverk";"Helsesykepleier og jordmor";"15-39 år";"Menn";8.8;7.7;7.2;4.8;4.0;3.0;3.2;2.0;0.0;2.3;4.0;5.0;5.5;10.3;12.5;12.0
"Avtalte årsverk";"Helsesykepleier og jordmor";"15-66 år";"Kvinner";5343.0;5551.3;5553.2;5832.8;5906.6;6033.0;6177.5;6563.0;6703.0;6848.9;6922.5;7044.9;7144.5;7192.7;7354.4;7408.5
"Avtalte årsverk";"Helsesykepleier og jordmor";"15-66 år";"Menn";23.5;25.0;26.4;28.9;28.6;30.8;31.3;29.6;29.2;29.4;31.7;30.2;32.0;32.6;42.5;45.0
"Avtalte årsverk";"Helsesykepleier og jordmor";"15-74 år";"Kvinner";5410.4;5633.7;5634.3;5915.1;5994.7;6121.2;6276.1;6655.9;6807.0;6953.9;7033.5;7162.6;7276.6;7385.4;7551.3;7599.6
"Avtalte årsverk";"Helsesykepleier og jordmor";"15-74 år";"Menn";23.5;25.0;26.4;28.9;28.6;30.8;31.4;29.6;30.3;30.9;33.2;31.3;33.1;33.7;44.4;46.5
"Avtalte årsverk";"Helsesykepleier og jordmor";"40-54 år";"Kvinner";2840.2;2847.5;2746.5;2815.6;2790.8;2840.1;2924.9;3098.8;3186.9;3300.2;3349.2;3433.0;3441.1;3493.1;3595.1;3621.3
"Avtalte årsverk";"Helsesykepleier og jordmor";"40-54 år";"Menn";10.7;12.5;11.1;17.6;17.7;20.5;18.8;18.4;19.1;19.5;18.2;17.1;16.7;12.1;18.2;20.5
"Avtalte årsverk";"Helsesykepleier og jordmor";"55-66 år";"Kvinner";1535.5;1654.9;1762.3;1847.5;1907.3;1934.1;2017.8;2123.2;2171.2;2178.9;2198.4;2189.3;2152.8;2123.4;2055.4;2023.6
"Avtalte årsverk";"Helsesykepleier og jordmor";"55-66 år";"Menn";4.0;4.8;8.1;6.5;6.9;7.3;9.2;9.2;8.3;7.6;9.5;8.1;9.8;10.2;11.8;12.5
"Avtalte årsverk";"Radiograf";"Alle aldre";"Kvinner";1773.9;1872.2;1914.3;2035.7;2127.7;2170.9;2276.6;2391.8;2457.6;2529.9;2581.3;2664.6;2752.0;2833.2;2911.7;2981.6
"Avtalte årsverk";"Radiograf";"Alle aldre";"Menn";758.3;779.8;822.9;843.9;879.0;911.4;954.5;983.4;1012.3;1027.7;1049.5;1066.7;1089.8;1111.5;1132.7;1157.8
"Avtalte årsverk";"Radiograf";"15-39 år";"Kvinner";980.8;1003.8;1012.0;1092.2;1136.3;1136.0;1196.5;1259.7;1305.3;1326.2;1323.6;1352.3;1376.1;1366.6;1388.2;1393.8
"Avtalte årsverk";"Radiograf";"15-39 år";"Menn";380.5;375.6;380.3;382.9;401.5;411.7;433.2;435.6;432.6;427.5;434.8;438.6;437.6;455.0;463.9;475.1
"Avtalte årsverk";"Radiograf";"15-66 år";"Kvinner";1773.3;1869.8;1909.8;2031.5;2124.4;2165.7;2269.8;2385.2;2446.5;2519.6;2572.7;2652.1;2740.6;2819.5;2888.9;2957.9
"Avtalte årsverk";"Radiograf";"15-66 år";"Menn";758.3;779.8;822.5;843.9;875.6;908.4;950.8;978.9;1005.6;1022.6;1041.9;1056.6;1074.3;1094.7;1118.1;1144.5
"Avtalte årsverk";"Radiograf";"15-74 år";"Kvinner";1773.9;1872.2;1914.3;2035.7;2127.7;2170.9;2276.6;2391.8;2457.6;2529.9;2580.8;2664.6;2752.0;2830.8;2909.3;2978.4
"Avtalte årsverk";"Radiograf";"15-74 år";"Menn";758.3;779.8;822.9;843.9;879.0;911.4;954.5;983.4;1012.3;1027.7;1049.5;1066.7;1089.6;1111.5;1132.6;1157.8
"Avtalte årsverk";"Radiograf";"40-54 år";"Kvinner";634.8;687.8;694.3;714.5;726.9;749.0;767.3;804.0;798.3;822.3;867.0;914.5;967.7;1023.6;1054.1;1118.3
"Avtalte årsverk";"Radiograf";"40-54 år";"Menn";307.4;314.8;335.4;345.2;347.7;354.1;368.1;382.3;404.9;412.8;433.1;439.1;457.1;449.7;458.8;458.2
"Avtalte årsverk";"Radiograf";"55-66 år";"Kvinner";157.7;178.1;203.5;224.8;261.2;280.8;306.0;321.4;342.9;371.1;382.1;385.3;396.8;429.4;446.6;445.9
"Avtalte årsverk";"Radiograf";"55-66 år";"Menn";70.4;89.4;106.7;115.8;126.4;142.6;149.5;160.9;168.1;182.3;173.9;178.9;179.6;190.0;195.3;211.1
"Avtalte årsverk";"Sykepleier";"Alle aldre";"Kvinner";64708.5;66850.2;67392.1;69716.6;71578.5;72997.3;75061.1;78989.3;80720.6;82639.2;83420.6;85249.3;87024.2;88742.0;90151.3;91583.5
"Avtalte årsverk";"Sykepleier";"Alle aldre";"Menn";8891.0;9285.4;9447.4;9758.5;9989.0;10139.5;10463.3;10793.2;11052.6;11309.7;11361.8;11688.6;11939.9;12300.9;12629.9;12973.9
"Avtalte årsverk";"Sykepleier";"15-39 år";"Kvinner";26649.4;27301.2;27349.3;28240.4;28759.2;28929.5;29550.3;31338.3;32096.2;33037.6;33745.1;34776.4;35954.7;36815.6;37999.1;39095.8
"Avtalte årsverk";"Sykepleier";"15-39 år";"Menn";3720.6;3748.2;3686.9;3664.4;3667.3;3577.6;3548.5;3543.2;3627.9;3685.9;3708.9;3872.7;4079.4;4315.4;4529.5;4776.2
"Avtalte årsverk";"Sykepleier";"15-66 år";"Kvinner";64259.8;66356.4;66875.6;69201.3;70970.9;72348.8;74321.3;78236.2;79952.6;81835.4;82590.1;84360.5;86010.8;87511.3;88863.4;90170.7
"Avtalte årsverk";"Sykepleier";"15-66 år";"Menn";8863.8;9255.6;9412.7;9718.2;9942.6;10082.7;10397.5;10727.2;10973.4;11205.8;11243.5;11533.9;11760.6;12083.1;12348.6;12673.8
"Avtalte årsverk";"Sykepleier";"15-74 år";"Kvinner";64696.9;66834.0;67373.9;69700.0;71558.2;72975.8;75037.5;78956.8;80685.8;82605.6;83381.9;85207.0;86964.4;88684.3;90031.6;91446.9
"Avtalte årsverk";"Sykepleier";"15-74 år";"Menn";8889.6;9284.8;9445.9;9757.5;9987.3;10136.8;10460.6;10792.6;11050.5;11307.7;11357.9;11684.6;11935.7;12294.5;12616.4;12955.5
"Avtalte årsverk";"Sykepleier";"40-54 år";"Kvinner";27258.5;27818.8;27619.0;28111.0;28504.6;29007.9;29606.0;30936.3;31375.0;31747.1;31647.6;31934.6;32136.7;32644.7;32771.5;32735.1
"Avtalte årsverk";"Sykepleier";"40-54 år";"Menn";4021.4;4197.2;4204.7;4331.2;4354.1;4441.4;4651.1;4872.4;4956.2;5050.6;5062.0;5154.7;5159.6;5196.7;5216.9;5176.7
"Avtalte årsverk";"Sykepleier";"55-66 år";"Kvinner";10351.9;11236.4;11907.3;12849.9;13707.1;14411.4;15165.0;15961.6;16481.4;17050.8;17197.5;17649.5;17919.4;18051.1;18092.9;18339.8
"Avtalte årsverk";"Sykepleier";"55-66 år";"Menn";1121.8;1310.2;1521.1;1722.7;1921.1;2063.6;2198.0;2311.6;2389.3;2469.3;2472.5;2506.5;2521.7;2571.0;2602.2;2720.9
"Avtalte årsverk";"Vernepleier";"Alle aldre";"Kvinner";8055.7;8422.7;8905.2;9361.1;9770.4;10184.1;10651.5;11310.1;11853.8;12334.2;12793.4;13193.6;13658.3;14157.2;14607.7;15009.9
"Avtalte årsverk";"Vernepleier";"Alle aldre";"Menn";2348.2;2502.2;2589.5;2691.2;2819.2;2924.5;3028.6;3140.7;3255.4;3385.8;3530.4;3663.9;3775.2;3926.4;4116.8;4273.9
"Avtalte årsverk";"Vernepleier";"15-39 år";"Kvinner";4129.9;4177.6;4348.9;4475.1;4526.5;4642.3;4749.8;5040.8;5189.2;5366.3;5540.5;5685.8;5903.3;6173.4;6449.2;6672.1
"Avtalte årsverk";"Vernepleier";"15-39 år";"Menn";1029.2;1050.5;1057.3;1039.9;1055.1;1075.7;1089.2;1119.4;1155.4;1210.9;1280.5;1336.6;1391.5;1486.8;1597.3;1667.9
"Avtalte årsverk";"Vernepleier";"15-66 år";"Kvinner";8044.0;8411.1;8888.1;9345.3;9751.5;10156.8;10613.1;11273.0;11808.1;12278.7;12730.5;13118.1;13569.4;14055.4;14499.3;14864.9
"Avtalte årsverk";"Vernepleier";"15-66 år";"Menn";2345.0;2495.5;2581.4;2685.8;2807.9;2914.8;3014.6;3124.3;3229.9;3352.5;3491.2;3622.0;3729.3;3871.7;4054.3;4202.2
"Avtalte årsverk";"Vernepleier";"15-74 år";"Kvinner";8055.7;8422.7;8905.2;9360.9;9770.2;10182.4;10649.0;11309.6;11853.1;12333.3;12792.8;13192.4;13657.1;14154.3;14603.4;15001.5
"Avtalte årsverk";"Vernepleier";"15-74 år";"Menn";2348.2;2502.2;2589.5;2691.2;2819.2;2924.2;3028.6;3139.7;3255.4;3385.8;3528.8;3663.7;3774.8;3926.0;4113.7;4271.9
"Avtalte årsverk";"Vernepleier";"40-54 år";"Kvinner";3159.3;3365.3;3556.4;3741.2;3960.3;4134.2;4322.0;4562.6;4789.2;4982.5;5158.1;5316.4;5457.5;5588.0;5665.3;5663.4
"Avtalte årsverk";"Vernepleier";"40-54 år";"Menn";1016.2;1093.0;1123.0;1209.5;1275.4;1329.8;1383.6;1444.2;1492.6;1558.6;1613.4;1671.1;1694.8;1711.3;1726.9;1729.9
"Avtalte årsverk";"Vernepleier";"55-66 år";"Kvinner";754.8;868.3;982.9;1129.0;1264.6;1380.3;1541.3;1669.6;1829.7;1929.9;2031.9;2115.9;2208.6;2294.0;2384.8;2529.4
"Avtalte årsverk";"Vernepleier";"55-66 år";"Menn";299.5;352.0;401.1;436.5;477.4;509.3;541.7;560.7;581.9;583.0;597.3;614.3;643.1;673.7;730.1;804.4
"Avtalte årsverk";"Tannpleier";"Alle aldre";"Kvinner";990.3;1010.5;1041.5;1119.0;1140.2;1185.3;1204.0;1288.2;1323.8;1361.4;1381.5;1427.8;1423.7;1468.0;1518.7;1545.9
"Avtalte årsverk";"Tannpleier";"Alle aldre";"Menn";14.3;15.9;14.0;13.6;12.3;13.3;16.0;20.8;20.5;23.9;28.4;34.8;42.8;41.7;41.9;39.7
"Avtalte årsverk";"Tannpleier";"15-39 år";"Kvinner";440.7;437.7;467.4;494.6;502.0;523.7;517.0;555.6;571.7;591.1;598.9;634.3;647.2;685.5;730.6;756.8
"Avtalte årsverk";"Tannpleier";"15-39 år";"Menn";9.1;9.6;8.8;9.0;8.6;8.6;10.8;15.0;13.5;16.1;18.6;23.2;28.1;25.0;23.4;22.9
"Avtalte årsverk";"Tannpleier";"15-66 år";"Kvinner";987.6;1006.0;1036.8;1111.5;1130.1;1175.2;1187.3;1270.1;1307.4;1344.9;1368.1;1411.6;1407.2;1453.0;1502.6;1524.3
"Avtalte årsverk";"Tannpleier";"15-66 år";"Menn";14.3;15.9;14.0;12.2;11.7;13.3;16.0;20.8;20.0;23.9;28.4;34.8;42.8;41.7;41.8;39.6
"Avtalte årsverk";"Tannpleier";"15-74 år";"Kvinner";990.3;1010.5;1041.5;1118.6;1140.2;1185.3;1204.0;1288.0;1323.8;1361.0;1381.4;1427.4;1423.7;1467.3;1516.9;1542.4
"Avtalte årsverk";"Tannpleier";"15-74 år";"Menn";14.3;15.9;14.0;13.6;12.3;13.3;16.0;20.8;20.5;23.9;28.4;34.8;42.8;41.7;41.8;39.6
"Avtalte årsverk";"Tannpleier";"40-54 år";"Kvinner";405.6;406.2;382.0;400.2;387.4;388.7;400.2;427.0;432.7;443.3;455.6;466.8;473.0;488.0;501.3;502.9
"Avtalte årsverk";"Tannpleier";"40-54 år";"Menn";..;..;..;..;3.2;4.4;4.0;4.5;5.3;6.6;8.6;10.4;12.3;14.3;16.0;13.2
"Avtalte årsverk";"Tannpleier";"55-66 år";"Kvinner";141.2;162.1;187.5;216.7;240.8;262.8;270.0;287.5;303.0;310.4;313.6;310.4;287.0;279.5;270.7;264.7
"Avtalte årsverk";"Tannpleier";"55-66 år";"Menn";0.0;4.2;3.0;..;..;..;..;0.0;1.2;0.0;0.0;0.0;0.0;2.5;0.0;3.5
"Avtalte årsverk";"Bioingeniør";"Alle aldre";"Kvinner";5095.3;5146.3;5206.7;5360.6;5481.0;5524.2;5603.2;5723.8;5733.0;5769.9;5823.0;5880.1;5964.0;6019.8;6078.8;6050.4
"Avtalte årsverk";"Bioingeniør";"Alle aldre";"Menn";649.4;674.5;689.1;724.6;754.7;760.6;798.3;803.1;829.2;848.6;868.0;897.9;927.9;958.4;976.6;995.5
"Avtalte årsverk";"Bioingeniør";"15-39 år";"Kvinner";1969.8;1959.4;1942.6;1993.0;2023.3;2026.9;2054.4;2103.3;2130.1;2171.9;2215.0;2257.3;2337.3;2356.5;2400.6;2409.8
"Avtalte årsverk";"Bioingeniør";"15-39 år";"Menn";298.2;307.9;301.8;316.8;325.7;308.0;314.3;298.4;319.9;319.9;329.6;350.8;373.0;385.9;405.0;421.8
"Avtalte årsverk";"Bioingeniør";"15-66 år";"Kvinner";5075.3;5123.7;5175.0;5323.6;5438.8;5477.7;5548.8;5652.6;5662.6;5686.6;5724.5;5784.7;5862.0;5928.7;5959.6;5940.7
"Avtalte årsverk";"Bioingeniør";"15-66 år";"Menn";647.5;672.2;683.9;720.3;751.9;756.9;793.9;796.4;820.6;841.1;858.0;880.0;906.0;931.4;946.9;969.7
"Avtalte årsverk";"Bioingeniør";"15-74 år";"Kvinner";5094.8;5145.6;5204.9;5359.7;5479.0;5522.4;5602.6;5720.9;5731.5;5769.7;5820.3;5877.8;5961.5;6018.2;6071.6;6043.6
"Avtalte årsverk";"Bioingeniør";"15-74 år";"Menn";649.4;674.5;689.1;724.6;754.7;760.6;798.3;803.1;829.2;848.6;868.0;897.9;927.9;958.4;976.6;993.6
"Avtalte årsverk";"Bioingeniør";"40-54 år";"Kvinner";1956.9;1965.6;1931.7;1948.7;1960.0;1960.5;1957.8;1975.2;1990.8;2006.8;2039.4;2061.3;2112.4;2207.9;2223.6;2236.6
"Avtalte årsverk";"Bioingeniør";"40-54 år";"Menn";244.6;234.0;236.4;250.8;262.3;272.9;291.6;312.4;321.5;336.4;346.3;351.8;366.7;383.1;388.2;398.4
"Avtalte årsverk";"Bioingeniør";"55-66 år";"Kvinner";1148.6;1198.7;1300.7;1381.9;1455.5;1490.3;1536.5;1574.1;1541.8;1508.0;1470.1;1466.1;1412.4;1364.2;1335.4;1294.3
"Avtalte årsverk";"Bioingeniør";"55-66 år";"Menn";104.6;130.3;145.6;152.7;164.0;176.0;188.0;185.7;179.2;184.8;182.2;177.3;166.3;162.4;153.7;149.6
"Avtalte årsverk";"Barnevernspedagog";"Alle aldre";"Kvinner";6773.8;7106.7;7454.4;7880.3;8183.5;8483.3;8894.6;9442.6;9934.8;10301.1;10648.8;11012.8;11343.5;11713.7;12037.3;12429.9
"Avtalte årsverk";"Barnevernspedagog";"Alle aldre";"Menn";1347.3;1404.2;1471.4;1521.3;1572.8;1613.2;1673.7;1738.9;1800.6;1878.6;1955.7;2021.9;2103.8;2163.0;2240.6;2338.5
"Avtalte årsverk";"Barnevernspedagog";"15-39 år";"Kvinner";4121.3;4282.4;4428.4;4555.7;4569.1;4620.9;4749.9;4959.8;5148.3;5266.0;5321.6;5432.5;5491.3;5571.2;5638.8;5845.1
"Avtalte årsverk";"Barnevernspedagog";"15-39 år";"Menn";519.3;542.3;560.9;568.2;562.0;573.7;578.0;637.4;672.5;702.8;751.5;797.9;855.5;876.0;944.2;986.0
"Avtalte årsverk";"Barnevernspedagog";"15-66 år";"Kvinner";6763.1;7094.0;7439.3;7859.4;8162.0;8454.8;8856.3;9400.0;9888.7;10237.2;10587.0;10949.6;11281.5;11631.9;11950.6;12328.7
"Avtalte årsverk";"Barnevernspedagog";"15-66 år";"Menn";1345.7;1401.0;1468.7;1517.1;1566.1;1601.9;1658.6;1718.8;1771.0;1850.0;1922.3;1990.1;2069.6;2120.3;2198.2;2294.2
"Avtalte årsverk";"Barnevernspedagog";"15-74 år";"Kvinner";6772.2;7105.7;7454.3;7879.8;8183.1;8482.9;8894.6;9442.0;9934.7;10299.7;10646.8;11011.1;11341.6;11710.0;12028.4;12422.5
"Avtalte årsverk";"Barnevernspedagog";"15-74 år";"Menn";1347.3;1404.2;1471.4;1521.3;1572.8;1613.2;1673.7;1738.2;1800.6;1878.6;1954.9;2021.9;2102.6;2160.9;2237.3;2333.2
"Avtalte årsverk";"Barnevernspedagog";"40-54 år";"Kvinner";1997.5;2108.4;2222.2;2461.7;2674.5;2852.4;3066.8;3335.8;3578.7;3793.2;4026.4;4229.9;4470.8;4692.8;4927.5;5047.3
"Avtalte årsverk";"Barnevernspedagog";"40-54 år";"Menn";576.1;577.4;608.5;632.4;669.9;695.2;737.1;742.6;753.8;789.2;808.1;809.8;829.8;845.8;843.7;878.8
"Avtalte årsverk";"Barnevernspedagog";"55-66 år";"Kvinner";644.3;703.2;788.7;842.0;918.3;981.5;1039.6;1104.4;1161.7;1178.0;1239.0;1287.1;1319.3;1367.9;1384.3;1436.3
"Avtalte årsverk";"Barnevernspedagog";"55-66 år";"Menn";250.3;281.2;299.2;316.4;334.2;333.0;343.4;338.7;344.7;358.0;362.8;382.4;384.3;398.4;410.3;429.4
"Avtalte årsverk";"Sosionom";"Alle aldre";"Kvinner";8871.9;9216.2;9576.0;10038.5;10404.9;10710.6;11115.8;11590.3;12137.4;12641.0;13106.2;13504.9;14099.4;14577.4;15082.8;15571.3
"Avtalte årsverk";"Sosionom";"Alle aldre";"Menn";2618.3;2680.9;2716.0;2798.0;2778.4;2820.1;2816.9;2830.5;2882.5;2899.0;2921.4;2925.1;3017.1;3079.8;3121.0;3173.8
"Avtalte årsverk";"Sosionom";"15-39 år";"Kvinner";4091.2;4246.1;4432.2;4705.7;4896.8;5038.2;5210.1;5518.3;5811.1;6059.2;6266.9;6451.1;6722.8;6931.2;7154.8;7356.5
"Avtalte årsverk";"Sosionom";"15-39 år";"Menn";758.2;779.7;788.6;787.6;793.9;810.5;797.4;836.5;845.9;867.5;875.8;876.8;923.0;974.3;1020.4;1048.8
"Avtalte årsverk";"Sosionom";"15-66 år";"Kvinner";8807.5;9134.3;9471.5;9923.8;10270.6;10556.6;10948.9;11450.5;11977.7;12477.7;12937.3;13341.1;13926.8;14397.9;14862.8;15341.9
